Date of Demolition;Locality;District;Area;Housing Units;People left Homeless;Minors left Homeless;Type Of Sturcture
12/10/23;al-Janiyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
12/10/23;al-Janiyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
27/9/23;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
26/9/23;Irtas;Bethlehem;west-bank;1;0;0;Non Resedential
26/9/23;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;11;6;Residental
18/9/23;al-Jiftlik;Jericho;west-bank;1;0;0;Residental
18/9/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Residental
18/9/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Residental
18/9/23;Haris;Salfit;west-bank;1;0;0;Non Resedential
12/9/23;Bir 'Unah;Bethlehem;west-bank;1;0;0;Residental
6/9/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
6/9/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
6/9/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
6/9/23;'Anata;al-Quds;west-bank;3;0;0;Non Resedential
6/9/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
6/9/23;'Anata;al-Quds;west-bank;2;0;0;Residental
4/9/23;Turah al-Gharbiyah;Jenin;west-bank;1;0;0;Residental
30/8/23;Tarqumya;Hebron;west-bank;2;0;0;Non Resedential
29/8/23;al-Bweirah;Hebron;west-bank;1;0;0;Residental
24/8/23;Shufah;Tulkarm;west-bank;1;0;0;Non Resedential
21/8/23;Bidu;al-Quds;west-bank;8;0;0;Non Resedential
21/8/23;Bidu;al-Quds;west-bank;3;0;0;Non Resedential
21/8/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Residental
21/8/23;Bidu;al-Quds;west-bank;1;0;0;Residental
21/8/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;8;0;Residental
21/8/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;8;3;Residental
21/8/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Residental
21/8/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;2;0;0;Non Resedential
21/8/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Residental
17/8/23;'Ein Shibli;Nablus;west-bank;2;0;0;Non Resedential
17/8/23;Humsah;Hebron;west-bank;1;7;5;Residental
17/8/23;Sarta;Salfit;west-bank;1;0;0;Non Resedential
17/8/23;'Ein Samia;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
14/8/23;Beit Sira;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
14/8/23;Beit Sira;Ramallah and al-Bira;west-bank;4;0;0;Non Resedential
14/8/23;Zif;Hebron;west-bank;1;0;0;Non Resedential
14/8/23;Beit Sira;Ramallah and al-Bira;west-bank;4;0;0;Non Resedential
3/8/23;Hebron;Hebron;west-bank;1;0;0;Non Resedential
1/8/23;Deir Ballut;Salfit;west-bank;1;0;0;Non Resedential
1/8/23;Suba;Hebron;west-bank;3;0;0;Non Resedential
31/7/23;al-Mughayir;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
31/7/23;al-Mughayir;Jenin;west-bank;1;0;0;Residental
31/7/23;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Residental
31/7/23;al-'Arrub R.C.;Hebron;west-bank;1;0;0;Non Resedential
26/7/23;Idhna;Hebron;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;al-Hijrah;Hebron;west-bank;4;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;5;3;Residental
25/7/23;a-Za'ayem;al-Quds;west-bank;1;7;5;Residental
25/7/23;a-Za'ayem;al-Quds;west-bank;1;10;2;Residental
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
25/7/23;a-Za'ayem;al-Quds;west-bank;1;6;2;Residental
25/7/23;a-Za'ayem;al-Quds;west-bank;3;0;0;Non Resedential
24/7/23;Battir;Bethlehem;west-bank;1;0;0;Non Resedential
24/7/23;Kh. Humsah a-Tahta;Tubas;west-bank;1;0;0;Residental
19/7/23;a-Lubban al-Gharbiyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
18/7/23;Birin;Hebron;west-bank;1;0;0;Non Resedential
17/7/23;al-Muntar;al-Quds;west-bank;1;7;5;Residental
17/7/23;al-Muntar;al-Quds;west-bank;1;0;0;Residental
17/7/23;al-Muntar;al-Quds;west-bank;1;3;1;Residental
17/7/23;al-Muntar;al-Quds;west-bank;1;3;1;Residental
12/7/23;a-Dhahiriyah;Hebron;west-bank;1;0;0;Non Resedential
12/7/23;al-Baq'ah (Hebron);Hebron;west-bank;1;0;0;Non Resedential
11/7/23;Beit Jala;Bethlehem;west-bank;2;0;0;Non Resedential
9/7/23;Hebron;Hebron;west-bank;3;0;0;Non Resedential
6/7/23;Wadi Abu al-Hindy;al-Quds;west-bank;1;0;0;Non Resedential
6/7/23;Duma;Nablus;west-bank;21;0;0;Non Resedential
29/6/23;Jurish;Nablus;west-bank;1;0;0;Non Resedential
26/6/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
22/6/23;Kh. al-Maleh (Hamamat al-Maleh);Tubas;west-bank;1;0;0;Residental
22/6/23;Kh. al-Maleh (Hamamat al-Maleh);Tubas;west-bank;1;0;0;Residental
19/6/23;Qalandia;al-Quds;west-bank;23;0;0;Non Resedential
19/6/23;Qalandia;al-Quds;west-bank;4;0;0;Non Resedential
19/6/23;Qalandia;al-Quds;west-bank;1;0;0;Residental
19/6/23;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
15/6/23;Kh. Um al-Jamal;Tubas;west-bank;1;0;0;Residental
15/6/23;Kh. Um al-Jamal;Tubas;west-bank;1;0;0;Residental
15/6/23;Kh. Um al-Jamal;Tubas;west-bank;1;0;0;Residental
15/6/23;Kh. Um al-Jamal;Tubas;west-bank;1;0;0;Residental
15/6/23;Bir 'Unah;Bethlehem;west-bank;1;0;0;Residental
14/6/23;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
14/6/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
11/6/23;'Azzun 'Atmah;Qalqiliya;west-bank;1;0;0;Non Resedential
6/6/23;Tublas (Hizma);al-Quds;west-bank;1;0;0;Non Resedential
6/6/23;Kh. Tatrit ('Arab al-Freijat);Hebron;west-bank;2;0;0;Non Resedential
6/6/23;Tublas (Hizma);al-Quds;west-bank;2;0;0;Non Resedential
6/6/23;al-Mazra'ah al-Qibliyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
4/6/23;a-Ramadin;Hebron;west-bank;1;0;0;Non Resedential
29/5/23;Jericho;Jericho;west-bank;2;0;0;Non Resedential
29/5/23;Irtas;Bethlehem;west-bank;1;0;0;Residental
29/5/23;Irtas;Bethlehem;west-bank;1;0;0;Non Resedential
28/5/23;Deir Samit;Hebron;west-bank;2;0;0;Non Resedential
24/5/23;Beit Jala;Bethlehem;west-bank;1;0;0;Non Resedential
24/5/23;Beit Jala;Bethlehem;west-bank;1;0;0;Non Resedential
24/5/23;al-Walajah;Bethlehem;west-bank;1;0;0;Non Resedential
24/5/23;Kh. Iqteit;Hebron;west-bank;1;6;4;Residental
24/5/23;Kh. Iqteit;Hebron;west-bank;1;0;0;Non Resedential
24/5/23;Hebron;Hebron;west-bank;1;0;0;Non Resedential
24/5/23;Hebron;Hebron;west-bank;1;0;0;Non Resedential
22/5/23;Deir a-Sudan;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
22/5/23;Deir a-Sudan;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
22/5/23;Um Safa;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
22/5/23;Kh. Ma'in;Hebron;west-bank;1;0;0;Residental
22/5/23;Kh. Ma'in;Hebron;west-bank;1;7;5;Residental
21/5/23;a-Zuweidin;Hebron;west-bank;1;0;0;Non Resedential
18/5/23;Kh. al-Marajim;Nablus;west-bank;1;0;0;Non Resedential
17/5/23;a-Nabi Elyas;Qalqiliya;west-bank;1;0;0;Non Resedential
16/5/23;al-Khader;Bethlehem;west-bank;2;0;0;Non Resedential
16/5/23;Beit Ula;Hebron;west-bank;1;0;0;Non Resedential
16/5/23;Kharas;Hebron;west-bank;1;0;0;Non Resedential
16/5/23;Kharas;Hebron;west-bank;1;0;0;Non Resedential
16/5/23;Kharas;Hebron;west-bank;1;0;0;Non Resedential
16/5/23;Jayus;Qalqiliya;west-bank;1;0;0;Non Resedential
16/5/23;Jayus;Qalqiliya;west-bank;1;0;0;Non Resedential
15/5/23;al-'Eizariyah;al-Quds;west-bank;1;0;0;Residental
15/5/23;al-'Eizariyah;al-Quds;west-bank;1;0;0;Non Resedential
15/5/23;al-'Eizariyah;al-Quds;west-bank;1;0;0;Non Resedential
15/5/23;Hebron;Hebron;west-bank;1;0;0;Non Resedential
15/5/23;Kh. Khilet a-Dabe';Hebron;west-bank;1;0;0;Non Resedential
15/5/23;al-Mufaqarah;Hebron;west-bank;1;0;0;Non Resedential
10/5/23;'Ein a-Duyuk al-Foqa;Jericho;west-bank;2;0;0;Non Resedential
10/5/23;Jub a-Dib;Bethlehem;west-bank;2;0;0;Non Resedential
10/5/23;a-Zuweidin;Hebron;west-bank;2;0;0;Non Resedential
10/5/23;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
8/5/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
7/5/23;al-Jiftlik;Jericho;west-bank;1;0;0;Non Resedential
7/5/23;al-'Auja;Jericho;west-bank;2;0;0;Residental
7/5/23;Fasayil al-Wusta;Jericho;west-bank;1;0;0;Non Resedential
7/5/23;Jub a-Dib;Bethlehem;west-bank;2;0;0;Non Resedential
30/3/23;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;0;0;Residental
28/3/23;Deir Ballut;Salfit;west-bank;1;0;0;Non Resedential
28/3/23;a-Sawahrah a-Sharqiyah;al-Quds;west-bank;2;0;0;Non Resedential
21/3/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
21/3/23;Hizma;al-Quds;west-bank;1;0;0;Residental
16/3/23;Deir 'Ammar;Ramallah and al-Bira;west-bank;3;0;0;Residental
13/3/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
6/3/23;Jericho;Jericho;west-bank;1;0;0;Non Resedential
6/3/23;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
6/3/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
6/3/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
6/3/23;She'b al-Batem;Hebron;west-bank;1;0;0;Residental
6/3/23;She'b al-Batem;Hebron;west-bank;1;0;0;Residental
6/3/23;She'b al-Batem;Hebron;west-bank;1;0;0;Residental
6/3/23;She'b al-Batem;Hebron;west-bank;1;0;0;Residental
5/3/23;al-Fureidis;Bethlehem;west-bank;1;0;0;Non Resedential
5/3/23;Marah Ma'alla;Bethlehem;west-bank;1;0;0;Non Resedential
2/3/23;Beit Ula;Hebron;west-bank;5;0;0;Non Resedential
2/3/23;Beit Ula;Hebron;west-bank;2;0;0;Non Resedential
2/3/23;Beit Ula;Hebron;west-bank;3;0;0;Non Resedential
1/3/23;Idhna;Hebron;west-bank;1;7;5;Residental
1/3/23;Furush Beit Dajan;Nablus;west-bank;1;6;4;Residental
27/2/23;al-Fawar R.C.;Hebron;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
23/2/23;al-Jalameh;Jenin;west-bank;1;0;0;Non Resedential
22/2/23;Qusrah;Nablus;west-bank;1;0;0;Non Resedential
22/2/23;Qusrah;Nablus;west-bank;1;0;0;Non Resedential
22/2/23;Lifjim;Nablus;west-bank;1;7;5;Residental
22/2/23;Lifjim;Nablus;west-bank;1;0;0;Non Resedential
22/2/23;Lifjim;Nablus;west-bank;1;8;3;Residental
22/2/23;Lifjim;Nablus;west-bank;1;0;0;Non Resedential
22/2/23;Lifjim;Nablus;west-bank;1;3;1;Residental
22/2/23;Lifjim;Nablus;west-bank;3;0;0;Non Resedential
22/2/23;Idhna;Hebron;west-bank;1;6;4;Residental
22/2/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Non Resedential
22/2/23;al-'Eizariyah;al-Quds;west-bank;1;3;1;Residental
22/2/23;al-'Eizariyah;al-Quds;west-bank;1;0;0;Non Resedential
22/2/23;al-'Eizariyah;al-Quds;west-bank;1;6;3;Residental
22/2/23;al-'Eizariyah;al-Quds;west-bank;6;0;0;Non Resedential
20/2/23;al-Buweib;Hebron;west-bank;1;0;0;Non Resedential
15/2/23;a-Ram;al-Quds;west-bank;1;0;0;Non Resedential
15/2/23;Kh. Khilet a-Dabe';Hebron;west-bank;1;0;0;Non Resedential
15/2/23;She'b al-Batem;Hebron;west-bank;1;0;0;Non Resedential
12/2/23;Qalqas;Hebron;west-bank;1;0;0;Non Resedential
12/2/23;Fasayil al-Wusta;Jericho;west-bank;8;0;0;Non Resedential
12/2/23;Fasayil al-Wusta;Jericho;west-bank;1;10;5;Residental
12/2/23;Masafer Bani Na'im (Khallet al-Masafer);Hebron;west-bank;1;0;0;Non Resedential
12/2/23;al-Buweib;Hebron;west-bank;1;0;0;Non Resedential
2/2/23;Duma;Nablus;west-bank;1;8;5;Residental
2/2/23;Duma;Nablus;west-bank;3;15;8;Residental
1/2/23;Deir Ballut;Salfit;west-bank;2;0;0;Non Resedential
1/2/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
1/2/23;al-Kasarat;al-Quds;west-bank;1;0;0;Non Resedential
25/1/23;Kh. Ma'in;Hebron;west-bank;1;0;0;Non Resedential
25/1/23;Kh. Ma'in;Hebron;west-bank;2;0;0;Non Resedential
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;8;0;0;Non Resedential
25/1/23;Nahhalin;Bethlehem;west-bank;1;2;0;Residental
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;3;0;0;Non Resedential
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;2;0;0;Non Resedential
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;4;0;0;Non Resedential
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;4;0;0;Non Resedential
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Non Resedential
25/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;4;0;0;Non Resedential
23/1/23;Hablah;Qalqiliya;west-bank;1;0;0;Non Resedential
23/1/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
23/1/23;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
23/1/23;a-Za'ayem;al-Quds;west-bank;3;0;0;Non Resedential
22/1/23;Irtas;Bethlehem;west-bank;2;0;0;Non Resedential
18/1/23;al-Funduq;Qalqiliya;west-bank;1;0;0;Non Resedential
18/1/23;Kafr Laqif;Qalqiliya;west-bank;1;0;0;Non Resedential
18/1/23;Kh. Tatrit ('Arab al-Freijat);Hebron;west-bank;1;0;0;Residental
18/1/23;Kh. Tatrit ('Arab al-Freijat);Hebron;west-bank;2;0;0;Non Resedential
18/1/23;Kh. Tatrit ('Arab al-Freijat);Hebron;west-bank;1;0;0;Non Resedential
18/1/23;al-Jiftlik;Jericho;west-bank;1;2;0;Residental
18/1/23;al-Jiftlik;Jericho;west-bank;3;0;0;Non Resedential
18/1/23;al-Jiftlik;Jericho;west-bank;1;7;5;Residental
18/1/23;al-Jiftlik;Jericho;west-bank;1;0;0;Non Resedential
16/1/23;Shuyukh al-'Arrub;Hebron;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;3;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/1/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
12/1/23;Duma;Nablus;west-bank;1;0;0;Non Resedential
11/1/23;a-Nabi Elyas;Qalqiliya;west-bank;2;0;0;Non Resedential
11/1/23;al-Baq'ah (Hebron);Hebron;west-bank;1;0;0;Non Resedential
11/1/23;al-Baq'ah (Hebron);Hebron;west-bank;1;0;0;Residental
11/1/23;'Ein Samia;Ramallah and al-Bira;west-bank;1;6;0;Residental
11/1/23;Khalet al-Furn;Hebron;west-bank;1;6;4;Residental
10/1/23;'Anata;al-Quds;west-bank;3;0;0;Non Resedential
10/1/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
10/1/23;'Anata;al-Quds;west-bank;3;0;0;Non Resedential
10/1/23;'Anata;al-Quds;west-bank;1;0;0;Residental
10/1/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
10/1/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
10/1/23;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
10/1/23;'Anata;al-Quds;west-bank;3;0;0;Non Resedential
10/1/23;Kafr a-Dik;Salfit;west-bank;1;3;0;Residental
10/1/23;'Ein a-Duyuk a-Tahta;Jericho;west-bank;3;0;0;Non Resedential
10/1/23;al-'Auja;Jericho;west-bank;4;0;0;Non Resedential
9/1/23;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
5/1/23;Duma;Nablus;west-bank;4;21;10;Residental
5/1/23;Duma;Nablus;west-bank;5;0;0;Non Resedential
5/1/23;Hebron;Hebron;west-bank;1;0;0;Non Resedential
5/1/23;Duma;Nablus;west-bank;1;0;0;Non Resedential
5/1/23;Duma;Nablus;west-bank;1;0;0;Non Resedential
5/1/23;Duma;Nablus;west-bank;1;0;0;Non Resedential
4/1/23;al-Khader;Bethlehem;west-bank;1;0;0;Non Resedential
4/1/23;al-'Auja;Jericho;west-bank;1;0;0;Non Resedential
4/1/23;al-Mughayir;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
4/1/23;al-Mughayir;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
3/1/23;Kh. a-Safai al-Foqa;Hebron;west-bank;1;0;0;Non Resedential
3/1/23;a-Nabi Elyas;Qalqiliya;west-bank;1;0;0;Non Resedential
3/1/23;She'b al-Batem;Hebron;west-bank;1;9;3;Residental
3/1/23;She'b al-Batem;Hebron;west-bank;2;0;0;Non Resedential
3/1/23;She'b al-Batem;Hebron;west-bank;1;10;4;Residental
3/1/23;She'b al-Batem;Hebron;west-bank;4;0;0;Non Resedential
3/1/23;She'b al-Batem;Hebron;west-bank;1;9;4;Residental
3/1/23;She'b al-Batem;Hebron;west-bank;1;0;0;Non Resedential
3/1/23;She'b al-Batem;Hebron;west-bank;1;8;1;Residental
3/1/23;She'b al-Batem;Hebron;west-bank;1;0;0;Non Resedential
3/1/23;Kh. Ma'in;Hebron;west-bank;1;0;0;Residental
3/1/23;Kh. Ma'in;Hebron;west-bank;1;0;0;Non Resedential
27/12/22;Dura;Hebron;west-bank;2;0;0;Non Resedential
27/12/22;Immatin;Qalqiliya;west-bank;1;0;0;Non Resedential
27/12/22;a-Sawahrah a-Sharqiyah;al-Quds;west-bank;1;0;0;Non Resedential
27/12/22;a-Sawahrah a-Sharqiyah;al-Quds;west-bank;1;0;0;Non Resedential
27/12/22;a-Sawahrah a-Sharqiyah;al-Quds;west-bank;1;0;0;Non Resedential
26/12/22;Qalqas;Hebron;west-bank;4;0;0;Non Resedential
22/12/22;Deir Sharaf;Nablus;west-bank;1;0;0;Non Resedential
22/12/22;Deir Sharaf;Nablus;west-bank;1;0;0;Non Resedential
21/12/22;Battir;Bethlehem;west-bank;1;0;0;Non Resedential
21/12/22;Jinsafut;Qalqiliya;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Khilet a-Dabe';Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Ma'in;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;a-Tuwani;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
20/12/22;Kh. Wadi Ejheish;Hebron;west-bank;1;0;0;Non Resedential
19/12/22;Jericho;Jericho;west-bank;3;0;0;Non Resedential
19/12/22;Jericho;Jericho;west-bank;1;0;0;Non Resedential
15/12/22;Tarqumya;Hebron;west-bank;1;0;0;Non Resedential
15/12/22;Tarqumya;Hebron;west-bank;1;0;0;Non Resedential
15/12/22;Khalet al-Furn;Hebron;west-bank;1;0;0;Non Resedential
15/12/22;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
15/12/22;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
15/12/22;Farsh al-Hawa;Hebron;west-bank;1;0;0;Residental
14/12/22;Husan;Bethlehem;west-bank;1;0;0;Non Resedential
14/12/22;Um a-Rihan;Jenin;west-bank;1;0;0;Non Resedential
13/12/22;al-Jib;al-Quds;west-bank;2;0;0;Non Resedential
13/12/22;Furush Beit Dajan;Nablus;west-bank;1;0;0;Residental
13/12/22;Furush Beit Dajan;Nablus;west-bank;1;0;0;Residental
